text,label
صباتو اشرف منك يا بهيمه,1
الله يلعن كورونا متى نحضر بالجوهرة💔💔😔 LINK,1
طب يانجم انا مغلطتش في امك ومش صعب عليا اني اغلط فيها يعني بكسمك,0
"أبو يعرب العجلوني وابو يعرب الوريكات في حفل زفاف اخوي "" محمد عثمان العجلوني "" . 1.8.2015…",0
الله يلعن كورونا كل شي مقفل بوجهك.🌚,1
يا حلاق اعملي غره فرح لي قلبي شي مره تحرقص ابن الجيران يلي عيونه لبرا,0
حلو العربي و القادسية مباراة قوية ولا بأس بها ، احسن ما يكون الدوري السوري معلم,1
غريبة... انا ساكن قريب من شارع الجامعة والدنيا ثلج بس ما بثبت,1
افعل ما شئت لكن لاتظلم احدا… تميز بما شئت لكن لاتتكبر ابدا… خاصم من شئت لكن لاتشتم ابدا… اغضب بما شئت لكن لاتجرح احدا. وقفة صباحية :::,1
الجو مخنق ولا انا نفسي مخنق !,0
البنات فاكرين إن سواقتهم ولا سواقة مجايفر وهما بطيخ في السواقه والمفروض ميركبوش عربيات من أساسه,0
ما هازا الملل؟,0
جنس عبيد قردة,1
شئ مقزز ومقرف ايه الشخص المعفن ده عاجبهم فيه ايه ده,0
صحيح... هم اعتادوا على حليب الحمير. انتم بول البعير...,1
اول اشي بسوه بروحو على المقبرة :) بتصبح بقبر جدي و اسمي على اسمو بحس انو دوري اموت بس اشوف اسمي على القبر,0
هذا الليبرالي العفن اذا انحشر راح بالنقاش لاماكن ثانية . ناس افكارها سخيفة وتافهة لما تواجه رواسخ الدين الثابتة والشامخة يتضح مدى سخافة هالافكار والقناعات,1
انتو اشكال تقرف الله يحرقكو بجاز يازنوك ياقرود,0
إذا أتتك مذمة من #ديما_الوطية فشهدو بإني كامل,1
الله يلعن أبو داعش الأولاني,1
#بايع_الكليجا<LF>فضحتنا ي متخلفات ي قاصرات ي جعر ي السلقلق👊🏻,1
باقي الديانات كفر حاولت اقتنع لكن كلامهم كله كفر و إلحاد,0
رحم الله الفنان الكبير العبقري عبد الحليم حافظ ، فنان احترم فنه و جمهوره فاحترمه الملايين من…,0
كل العيلة بتحكيلي خلي مرح ترجع عنا لما صاحبك يكون صاحب العيلة اشي رائع جداً وبشعرك بالاستبعاد ايضاً بس معلش,0
"اللهم فرج همنا , و نفس كربنا , و أقض عنا ديننا , و اشف مرضانا , و ارحم موتانا , و اهلك اعدائنا",0
المهم التاغية مات,0
يعني النبي كان رح يلطم ويشق اواعيه وصدره!! بالله عليك انت مقتنع؟؟؟ وحديث الكساء باجماع علماء الحديث باطل وﻻ اصل له,1
وهاب بعد زيارته الغريب لقاء خلدة مهمته داخلية درزية وليس موجهاً ضد أحد,0
ابشرك؟غيرك عوضني و مرتاح بغيابك,0
الحملة العالمية لنصرة فلسطين اضغط على الزر اسفل التغريدة,0
